rol,fecha_ingreso_causa,estado,estado_subtipo,orden,fecha_documento,tipo_documento,nombre,fojas,storage_path,url
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",1,"2017-12-01","Ingreso de reclamación. Acompaña documentos. Solicita audiencia percepción doc. Patrocinio y poder.","Admisible. Por acompañados. Se citará en su oportunidad. Como se pide. Téngase presente","531","tribunales/1TA/R-1-2017/ingreso_de_reclamaci_n__acompa_a_documentos__solicita_audiencia_percepci_n_doc__patrocinio_y_poder__17.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F98%2Fresolucion.pdf&embedded=true"
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",2,"2017-12-01","Escrito Inicial","Ingreso de reclamación. Acompaña documentos. Solicita audiencia percepción doc. Patrocinio y poder.","1","tribunales/1TA/R-1-2017/escrito_inicial_10.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F85%2F1_reclamacion_dominga.pdf&embedded=true"
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",3,"2017-12-27","Evacúa informe. Acompaña Documentos.","Téngase por evacuado el informe. Téngase por acompañados los documentos.","644","tribunales/1TA/R-1-2017/evac_a_informe__acompa_a_documentos__34.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F183%2FResoluci_n-20171228-8-7t64jg.pdf&embedded=true"
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",4,"2017-12-27","Escrito","Evacúa informe. Acompaña Documentos.","538","tribunales/1TA/R-1-2017/escrito_33.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F179%2FPresentaci_n_Parte_1-20171227-8-1vzezlh.pdf&embedded=true"
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",5,"2018-01-09","Informe Amicus Curiae","Resolución","692","tribunales/1TA/R-1-2017/informe_amicus_curiae_66.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F214%2Ffojas6-20180109-33-isq38h.pdf&embedded=true"
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",6,"2018-01-09","Escrito","Informe Amicus Curiae","654","tribunales/1TA/R-1-2017/escrito_65.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F211%2Fmandato1__2_-20180109-8-1x24jbw.pdf&embedded=true"
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",7,"2018-01-10","Informe Amicus Curiae","Resolución","726","tribunales/1TA/R-1-2017/informe_amicus_curiae_72.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F228%2Fresolucion2amicus-20180110-139-gt7baj.pdf&embedded=true"
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",8,"2018-01-10","Escrito","Informe Amicus Curiae","694","tribunales/1TA/R-1-2017/escrito_71.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F224%2FInforme_Amicus_Curiae_Andr_s_Moreira-20180110-111-pj6upl.pdf&embedded=true"
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",9,"2018-01-16","Escrito","Téngase presente. Acompaña informes en derecho.","779","tribunales/1TA/R-1-2017/escrito_103.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F277%2F1-20180117-25-p0zfeu.pdf&embedded=true"
"R-1-2017","2017-12-01","En tramitación ( Demanda)","Demanda",10,"2018-01-17","Téngase presente. Acompaña informes en derecho.","Resolución.","896","tribunales/1TA/R-1-2017/t_ngase_presente__acompa_a_informes_en_derecho__107.pdf","https://www.portaljudicial1ta.cl/sgc-ws/rest/servlet/viewer-file?file=%2Fdata%2Fuploads%2Ffoliated_attachment%2Fcontent%2F285%2FR-1-20180117-71-52p09s.pdf&embedded=true"
